t,m,,,,,
0,0,,,,,
2,0.0001,,,,,
5,0.0004,,,,,
9,0.0011,,,,,
14,0.0034,,,,,
20,0.0079,,,,,
27,0.0137,,,,,
35,0.0203,,,,,
44,0.0287,,,,,
54,0.0385,,,,,
65,0.0487,,,,,
77,0.0601,,,,,
90,0.0717,,,,,
104,0.0856,,,,,
119,0.1001,,,,,
135,0.1155,,,,,
152,0.1323,,,,,
170,0.1486,,,,,
189,0.1662,,,,,
209,0.1834,,,,,
230,0.2002,,,,,
252,0.2161,,,,,
275,0.2350,,,,,
299,0.2518,,,,,
324,0.2692,,,,,
350,0.2855,,,,,
377,0.3017,,,,,
405,0.3160,,,,,
434,0.3304,,,,,
464,0.3438,,,,,
495,0.3570,,,,,
527,0.3685,,,,,
560,0.3782,,,,,
594,0.3878,,,,,
629,0.3986,,,,,
665,0.4085,,,,,
702,0.4177,,,,,
740,0.4263,,,,,
779,0.4341,,,,,
819,0.4414,,,,,
860,0.4487,,,,,
902,0.4554,,,,,
945,0.4619,,,,,
