n,T_phcooh,T_nai,Q_phcooh,m_phcooh,m_nai
1,18.5345,18.5946,-26446,1.01,0.70
2,18.5385,18.6015,,,
3,18.5425,18.6066,,,
4,18.5465,18.6095,,,
5,18.5495,18.6124,,,
6,18.5525,18.6161,,,
7,18.5565,18.6195,,,
8,18.5585,18.6221,,,
9,18.5615,18.6224,,,
10,18.5645,18.6255,,,
11,18.7194,18.9073,,,
12,19.3774,19.5969,,,
13,19.7488,19.9754,,,
14,19.9515,20.1965,,,
15,20.0864,20.3183,,,
16,20.1708,20.3882,,,
17,20.2311,20.4414,,,
18,20.2752,20.4758,,,
19,20.3089,20.5014,,,
20,20.3331,20.5214,,,
21,20.3530,20.5339,,,
22,20.3668,20.5437,,,
23,20.3772,20.5515,,,
24,20.3847,20.5573,,,
25,20.3904,20.5600,,,
26,20.3953,20.5621,,,
27,20.3980,20.5644,,,
28,20.4008,20.5654,,,
29,20.4020,20.5651,,,
30,20.4033,20.5659,,,
